N,S,P
1,0.000140,0.218344
2,0.000275,0.189707
3,0.000342,0.188533
4,0.000405,0.189354
5,0.000544,0.189667
6,0.000830,0.187456
7,0.001128,0.193115
8,0.001647,0.189246
9,0.002151,0.189111
10,0.002916,0.192511
11,0.003786,0.191564
12,0.004857,0.204649
13,0.005998,0.194767
14,0.007384,0.180274
15,0.008909,0.197626
16,0.023505,0.217615
17,0.013309,0.158099
18,0.029326,0.218041
19,0.033309,0.217237
20,0.036801,0.207478
21,0.046340,0.189522
22,0.039191,0.219309
23,0.056543,0.209131
24,0.039401,0.159859
25,0.065681,0.191692
26,0.068643,0.197924
27,0.074837,0.188507
28,0.056415,0.229021
29,0.070473,0.223477
30,0.088833,0.195948
31,0.094836,0.203494
32,0.107176,0.198016
33,0.117906,0.194382
34,0.126873,0.194192
35,0.136580,0.193715
36,0.144825,0.193704
37,0.154710,0.195356
38,0.147115,0.176709
39,0.200172,0.197306
40,0.189810,0.195091
41,0.201700,0.205787
42,0.215284,0.201851
43,0.211537,0.169716
44,0.225794,0.181602
45,0.276639,0.176543
46,0.368926,0.217792
47,0.274436,0.175766
48,0.305401,0.204218
49,0.352232,0.197579
50,0.343147,0.210099
51,0.361967,0.203966
52,0.381388,0.210046
53,0.403417,0.200415
54,0.425000,0.213638
55,0.447431,0.206943
56,0.468159,0.208059
57,0.524880,0.200563
58,0.517883,0.209139
59,0.544337,0.206409
60,0.569253,0.208829
61,0.603793,0.211217
62,0.683850,0.348772
63,0.730450,0.307645
64,0.820436,0.252963
65,0.714628,0.250886
66,0.791597,0.251851
67,0.782045,0.269106
68,0.815235,0.264667
69,0.887985,0.220651
70,0.885996,0.221663
71,0.923279,0.221690
72,1.005020,0.224400
73,1.001971,0.225586
74,1.067278,0.773125
75,1.293636,0.287522
76,1.111699,0.237664
77,1.208963,0.222038
78,1.211715,0.248669
79,1.286596,0.227485
80,1.305374,0.229200
81,1.405731,0.279018
82,1.404292,0.232942
83,1.467481,0.284014
84,1.505400,0.232294
85,1.598091,0.232259
86,1.612008,0.233409
87,1.690293,0.233678
88,1.951215,0.272252
89,1.784096,0.235895
90,1.857835,0.258581
91,1.902273,0.242016
92,1.993755,0.252263
93,2.158262,0.243946
94,2.092302,0.255101
95,2.434817,0.299395
96,2.262341,0.240762
97,2.368947,0.257192
98,2.364664,0.258650
99,2.477656,0.250058
100,2.873839,0.431801

